"","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_proleg","larval5thinstar_forewing","larval5thinstar_forewing","larval5thinstar_forewing","larval5thinstar_forewing","embryo3hrs_embryo","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_forewing","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_antenna","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_T1-leg","embryo3hrs_embryo","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_T1-leg","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","Earlypupa(3-6hafterpupation)_eye","larval5thinstar_T1-leg","larval5thinstar_T1-leg","larval5thinstar_T1-leg","larval5thinstar_T1-leg","embryo12hrs_embryo","embryo12hrs_embryo","larval5thinstar_horn","larval5thinstar_horn","larval5thinstar_horn","larval5thinstar_horn","embryo12hrs_embryo","embryo12hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo24hrs_embryo","embryo3hrs_embryo","embryo3hrs_embryo"
"ap",4.43703807760662,3.77328586262907,3.97656594024958,3.94191463224912,7.43397465421583,7.30263814603748,7.13073428642328,7.0945914144526,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.51378333341338,4.11868834758325,3.9774645584889,4.23632624907428,5.59517386891393,5.56182789418538,5.95859476458506,6.2812160135583,3.77328586262907,4.09044478183417,3.90768012724652,5.20868398645634,4.38478492562304,4.58573101443711,4.24581647603545,3.77328586262907
"ara",5.1491385702208,4.31471280086915,4.33354966954336,4.77459812475901,6.42222864436466,6.35976914975175,6.35115027778075,6.15476374164827,3.77328586262907,3.77328586262907,4.70413076555421,3.77328586262907,3.77328586262907,5.47887839664706,5.54677537036559,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,6.07824426910678,3.77328586262907,3.77328586262907,3.77328586262907,4.88509690555124,4.5319185619867,4.54362443083617,4.79718788797936,5.22073614033945,5.50704962687651,5.35426699688847,5.3152220255446,5.50503225849101,5.68884534475142,5.00164333684321,5.65265903842253,6.22085785388524,5.88616739833207,5.95527482377115,4.24760543662653,3.77328586262907
"Atac1",7.84097159138919,8.01275632496213,8.20670501660754,8.25173702897525,7.52734140887186,7.87945349539095,7.7664014268499,7.8794153159137,8.31788976936156,7.76084187528279,7.99689728868254,8.84480766384215,8.88888115600752,8.11456277245705,7.60394549623085,7.5718152080254,9.41529324434517,9.1949955024407,8.32856887212534,9.59055529904095,9.31322573293509,9.32710444562024,9.46309549688586,9.15750664705105,8.90386548912344,9.19510876164497,9.02666259177708,8.86650175808341,8.90470140774412,8.09606789787928,7.79426061801053,8.19071181555725,8.30383578786945,8.34848936035342,8.37735103975739,7.86495178008035,8.03390921182877,8.4610190566119,7.51547973246111,7.85590973612729,7.67648267695262,8.45957424023252,8.75588308007275
"ATbp",6.83960835299314,7.50614105246182,6.98351294395285,7.70861975436776,6.25525024232692,6.21298286533362,6.25415566371584,6.2905833374361,6.74998086071288,7.93483795652534,8.46099598548519,6.5987970802271,8.34826424929186,7.84246183699599,8.36942251564097,7.93964376655559,9.39824955177146,8.39433355065004,6.74617068811034,9.04928534666212,9.29122816033157,7.75036091638803,8.70016144758626,8.88106735222892,9.08511383637691,8.87079983721858,8.67849182840059,8.4449377981107,8.7233161611631,7.41980318509707,6.73901749715429,7.00489222428704,6.83684767418344,6.9594930114518,7.00078286539759,7.14374504950274,7.05021761077731,7.53159448983387,6.63344486244874,6.91569846280676,6.89346698127824,6.73367859726943,6.79191588005933
"Atf6",7.43595854406648,7.08227110855842,7.94787712772983,6.89926211153498,8.75293696124685,8.90432749003681,8.82122322416637,8.64609041881224,7.27318238910756,8.16750217275425,8.29791900888866,8.34524753868421,8.4256121594914,8.63113408204627,7.5838069529709,7.79204740560573,6.5804412733462,5.62690195730822,7.53181525124017,6.37693503234422,7.23339725412706,7.89201621731888,8.08501704884391,7.80451317518162,7.51599343410457,6.69206416384147,7.24917949178446,7.00586999305343,6.67876967181368,6.57625617080649,6.56527735937928,7.36833638859898,7.77377695930314,7.98463420602371,7.99950463394391,6.75112414136983,6.62041333800989,6.08620340133807,7.10571034030148,7.07470353368582,7.07373535326632,7.45267207301338,6.77940922166791
"Awh",5.14287201833652,5.35448624378588,5.45711828929792,5.33234476553774,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.75079361033126,3.77328586262907,3.77328586262907,3.77328586262907,4.3888986615942,4.10182552924945,5.02752082939938,4.97391164651674,4.88676213162457,4.92005904946569,4.60035923734769,4.05212200745958,4.66982594628268,5.02408930920668,4.68614900041671,4.85907508846637,4.2042726573529,3.77328586262907
"az2",4.90646547950428,4.70444275297129,4.87323707512801,4.54110233726195,5.46108506420428,5.26483112900388,5.34955366094123,5.02654326398878,4.66977909143463,3.77328586262907,4.70298987370111,3.77328586262907,5.29763321073413,4.66405820961838,3.77328586262907,4.54911281001417,5.44333467245567,3.77328586262907,4.61867019321818,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.71730650817836,3.77328586262907,4.62229769943369,4.88094495793117,4.6152710004246,4.96728238060289,4.47188232568739,5.09121977586762,5.27597606181077,4.71005835937047,4.82035194480775,4.73556662860535,5.273659077963,5.0084196980469,4.89046813528264,5.11990306854828,4.99961238773247,5.00425424623306,4.71253232545915,4.5831022930632
"Bap111",9.05427130342659,9.04565468099213,8.88711158607294,8.91954829752516,9.66496454622453,9.66758951160542,9.60185864992507,9.62735010855336,8.58104164803637,7.96222956128679,8.43413059028026,8.4088508686524,7.18760052904743,8.85875994652615,9.28779958062242,8.88944250304324,8.95591135782651,8.12479997364979,8.56154772404437,7.98231690251412,8.32317308309366,8.65592542666238,8.2020207989389,8.29445303306268,8.00462699173328,8.25641207450717,8.5428877373259,8.48835135202814,8.76474165031246,8.56065931219942,8.75700136451899,8.48034262839402,8.1995865217365,8.2401167559689,8.38615775828071,8.84137251464071,8.69604296317691,8.74349954897084,9.48284987589941,9.3316345089248,9.47849779761118,8.36000119701893,8.36473127307722
"Bap170",8.11805774169946,8.05072520368081,8.27260523065021,7.29247718677086,9.53439603043838,9.77086597540234,9.75638082170927,9.56183366989591,6.35298209465469,6.90801799616374,6.87581321687488,5.87099908983849,6.64142771019762,7.749142205678,8.33420586429543,8.3319655686254,5.82874292406314,6.40985229155709,6.59538364271291,4.6002186968678,7.15012934746776,7.00837557620371,6.09089294405823,7.08714273206871,7.68978296308138,6.7396571356676,7.20670022232947,7.44380228989136,6.40961209922858,8.18383932852295,8.76105398782574,8.190603802549,8.08635788350936,8.14255753380924,8.1690950390528,9.33815446701553,8.61017775003912,9.14980804587501,9.65898327052813,9.37441488789135,9.40187801519517,7.10169127828409,6.80840040790423
"betaTub56D",6.51193473119717,7.38941858501066,7.05984589067064,7.57412420050317,8.07012709810131,8.09990593216675,8.02381128158014,7.83923490990137,6.01368174943108,3.77328586262907,6.24484545100391,4.64036355090587,6.40339264142755,7.30751663518619,6.61669174420711,7.46767212566043,6.84796074080341,7.53044972165604,5.94996024922473,6.80443119500112,7.16128650427855,6.05175918179629,6.12258372155472,7.519226367974,6.17123752191543,6.74876197284112,6.51725086435583,6.56195299826559,6.97169450761582,7.20014414281805,7.52015146395217,6.49658301242307,6.5155226252646,6.93060112885354,6.5528939640487,7.70319569702705,7.25406957485952,7.41759502027159,7.74017788504274,7.44078100696834,7.62223246656627,6.10416071146897,5.80984797248405
"bi",5.52884313073135,5.78194430283965,5.61208318571561,5.95815732107389,7.32911927959673,7.34280306017832,7.12989515873068,7.02566198676423,3.77328586262907,3.77328586262907,3.77328586262907,5.82297031838352,5.307418583647,6.48899371010624,6.30137820000269,6.28813519117873,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.09223336412575,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.81171820910064,4.63294656116699,4.78200172445503,4.98419062207272,4.5013930331991,4.76547858429397,3.77328586262907,4.23073277704749,3.77328586262907,4.39531454385575,5.00149879324245,4.4930246486149,5.28006626859518,5.46971222302969,4.95684310616009,5.41870861337592,4.16110319161823,3.77328586262907
"bigmax",7.18367640508963,7.351992920472,7.49712239323096,7.24558132153223,7.6721358695188,7.65279134431558,7.61624694512874,7.43073246370174,7.51020274134719,6.96499672470244,6.02453341644277,6.6269448783058,6.96736063125164,7.08163246661331,6.76215144542568,5.9435290095439,5.76158333087327,3.77328586262907,7.53656103672748,6.62844389738486,6.24140338033601,5.52682361097443,3.77328586262907,4.71022118928637,6.30578136717311,5.57465456746895,5.87051698535344,6.05902676870383,6.27514622980683,6.5317607531722,6.79297930182212,7.6134162373543,7.58857812461556,7.47168458590992,7.53670208951898,6.34555640779043,6.50722477193514,6.74396291295916,6.06315878511402,6.18888021644147,6.23808137687084,7.5065158792744,7.44505064774484
"Blimp-1",8.6312499355517,8.2618146844209,8.32427531428232,8.03316174493938,10.2520242422806,10.3568678330228,10.2518300336401,10.0166881249107,4.4363302385247,3.77328586262907,3.77328586262907,5.23880135540639,3.77328586262907,5.0241408451511,5.86504019069927,5.02702344861412,3.77328586262907,3.77328586262907,4.83804741470972,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,6.73688688670219,6.46751924340629,7.3841376180561,6.88572540292974,7.69471372639485,8.66823120365304,7.84138106565237,7.80957710418142,7.83241092335138,7.91037092409328,8.94274776209792,8.54003630579274,6.19070204131973,6.04721699096151,6.21917817721524,6.55908717318104,4.6677624108448,4.2831216049574
"brwl",6.66837628776179,6.61023546335891,6.71593079799877,6.92398061099198,6.78236912845521,6.69720913900057,6.67347804784687,7.05205739578013,6.77190058440454,6.67787308930757,7.99219549800416,6.85532863794693,7.35572945545422,7.14028938455152,7.48213934852431,6.80007262687772,7.94818607924562,7.40407496100511,6.93414369349853,8.2248001311772,8.28984990466616,8.45809254747623,7.89845150748256,7.39971968137402,7.2278620081462,7.61886339873495,7.4105975101947,7.45475272092968,7.9415882225735,7.83125564521583,7.46765561258751,7.04108968289453,7.06582526304889,6.90259253580748,6.96781913475897,7.44610197091202,7.77828521807511,6.64111092940968,6.9277784931224,7.07639833468122,7.26348941981365,6.85511623643063,6.89470695884992
"bs",4.77246051960831,4.61598172145262,4.6939751408764,4.70399873501561,5.13559400747339,5.17560202856712,5.1285830290073,5.00385174988647,4.9301948989098,3.77328586262907,5.82304804487119,5.07148325744895,3.77328586262907,4.31723561635974,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.6007096547017,5.02977728012139,3.77328586262907,5.29865943510643,3.77328586262907,4.97938285919454,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.14398207342033,4.57394853117736,4.31830460414573,4.53581206752801,4.92684810405303,4.59545105895066,4.69866648605163,4.31479027229431,4.5646967137665,4.55393041532449,4.46128372426822,4.55333979908654,4.51692091610587,4.89649613284249,4.78660502542285
"btd",4.3452696178053,4.48851995085419,4.56078345941067,4.40143756310248,4.11643603254753,3.77328586262907,3.77328586262907,3.77328586262907,4.04079735963252,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,6.65430600727635,5.77860712626202,6.08702008639589,9.31767966880077,9.98612163039323,4.43714891231517,9.65953590791358,9.55669303753218,4.53172014400884,5.60830449869116,4.91251608058342,4.90954511409063,10.2102304233991,10.0463942139528,9.55451363432151,9.71314328056786,8.56105244728275,8.08386086406813,4.27606959991737,4.08337296779895,3.77328586262907,3.77328586262907,8.58646787271168,8.51324686981526,7.01171326934724,7.36844096517996,7.10513485986854,7.54711146817294,4.83267241768404,4.15856859267296
"btn",3.77328586262907,3.77328586262907,3.77328586262907,4.21001978282026,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.36008709026272,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,6.36291402462061,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,12.0135002589526,11.4690240328263,4.4086191234496,3.77328586262907,3.77328586262907,3.77328586262907,11.4302344406135,11.8917755264288,8.79564047007328,9.3194221658353,9.70585248767723,9.8228722271723,6.15727848320133,5.73574288576342
"byn",4.46376402164156,4.32688483869252,4.61439678484963,4.25979195580321,3.77328586262907,4.21244316832117,4.12958253909255,3.77328586262907,3.77328586262907,5.13575520847004,6.25138656327955,4.64352493064354,5.82474521974823,5.11317719384686,4.94529849331848,4.89179805005938,7.08597458088309,6.6082224952604,4.31541896007048,6.6799679161975,7.20914472233847,5.86761689140982,3.77328586262907,6.82747040842821,6.18234202009939,3.77328586262907,3.77328586262907,3.77328586262907,4.15216418764608,6.45732442749547,7.17028102978499,4.52619058101068,4.89089806744774,4.60262340133889,4.37881338742636,7.22888928178793,7.20386292670042,5.47668394346263,5.89927843962698,5.29558700735758,5.70813631766327,4.1143458396841,3.77328586262907
"cad",3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,5.96268050786805,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,6.10187672963819,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,3.77328586262907,4.22426381650228,6.14059245023833,7.05188057418876,4.26381230873813,3.77328586262907,3.77328586262907,4.13162902454769,6.99637171285212,6.48266404509007,5.49639882872616,5.682622479763,5.41789546919019,5.41924174624124,6.02912767423617,5.56621024317117
"cag",6.67649734381508,6.21938530473916,6.79729979783615,6.62406555232301,6.177474435656,6.24687221959009,6.14400087672679,6.29452198882955,5.97436557311813,6.3916777621043,6.98116232056795,7.07496332994327,6.905726804347,7.54702657239956,6.9102019860361,7.00553995221081,6.9284313107615,7.14970784920546,6.18224267880299,7.19621654704463,7.35681459875316,8.41582125445508,8.75776625633867,8.85244975002711,8.73753808203894,7.17543747915214,7.04474590130149,7.22720472622869,7.17714921502806,8.61442034546758,8.81572398802812,7.03069457613587,7.15094729553105,7.3896942833249,6.88430954740192,9.13811725054095,8.9085326599497,7.18684049395476,7.37902247575495,7.30226059646222,7.18054409601904,6.19757023880801,5.96593944173823
"cbt",9.69563080966553,10.308576301299,9.09654431123502,10.9502588471117,6.55213342432514,6.48436201183442,6.37491127580846,6.40013010479143,3.77328586262907,11.8344709290898,11.5773830091592,11.2744737137564,10.9867604286202,10.208603989329,11.033597518896,10.7880317667683,11.1802944825885,11.4824776931427,4.19948429569879,11.120586583739,11.1440332490738,10.8261717086286,11.4609334820326,11.1961956819071,11.4104464826262,10.7379220280931,10.8354979125198,10.1413243719691,10.2230566795607,7.18502279335455,6.18053513648669,9.38801762674141,9.48755450402779,9.5125356628197,9.39372669448764,6.68635703190684,6.60343096464238,6.62178704943588,6.0922890585035,6.77267675901506,6.38857642479414,4.21126045660151,4.04334907092947
"Cdc5",8.50853267619981,8.63375571554634,8.29107964701971,8.64286532074991,9.22141624247407,9.2480101085015,9.24827905646125,9.30112828183045,8.2870087529597,6.95440565648693,6.71291498943016,7.26219397647284,7.38349793237504,8.36225278555569,7.79397475201577,8.28546426995918,7.45521339301149,7.40603761635493,8.44224484486648,7.36674742085213,7.70046035777932,7.16831039327549,7.80172297497051,8.12958575456127,8.69617348777989,7.81594095450376,8.07322457624321,7.77428543955405,8.00192632513642,8.47661233850538,8.63904007593219,8.23035924554122,8.21450342378839,8.30188336169976,8.12551496690446,8.85342721647989,8.74194691807622,8.28223449516189,8.73438874352228,8.81758967327607,8.61457131408371,8.23660358887544,8.04408603040402
"Cfp1",8.5090291217712,8.62239167398313,8.41322939526214,8.79987078831838,8.39580922672305,8.70610686014884,8.52866576894646,8.58507199596044,9.55041275764481,7.29067664254671,8.29996410591308,8.29445076008135,7.83816090105265,8.39184470923492,8.32966857101669,8.3788320552284,6.57604482182438,7.48966049640876,9.57840321971028,7.44007492902735,7.375329956677,8.14246427074092,8.3599022670093,8.14043176430216,8.05774766604022,7.73419936316837,7.79488820889036,8.1688373067398,7.93113411834154,8.69421673118194,8.8704700447031,8.46808219610391,8.41406338107204,8.55707372135853,8.53533027372245,8.76170446369354,8.78185924391725,8.66590008857484,8.81976581844678,8.74922011781555,8.82779289658697,9.57206034848923,9.3274917495534
"CG10348",5.29993099399342,4.59325560732132,4.72181421142609,5.0736248607203,7.90823804876665,7.83867930130556,7.87364652730932,7.6102338408127,4.01593768453891,6.4057643215563,5.08305590026519,7.17056301038653,3.77328586262907,7.46664427510847,7.72108581806304,7.88091802251194,7.68879040513083,3.77328586262907,4.49291395534609,3.77328586262907,5.08387769547603,3.77328586262907,4.7522387853307,4.60317173696746,3.77328586262907,5.66071507456026,4.99035360207968,5.65667787868906,4.9922131470565,4.95843341228719,5.40650465527586,6.20055686452231,6.42968910647298,6.1954949475713,5.88298917759183,6.01392904619351,5.57777778916038,5.51824557000426,6.08679170937182,5.78655210911951,6.22797318622658,4.41847652714908,4.30865144654099
"CG10431",7.91353696693087,8.28384391339475,8.24294756179841,8.5418404320233,8.44293863197977,8.44332491154124,8.41340781693987,8.38308116583526,7.65319441600486,8.61324880804646,8.62105216107843,8.48992782479577,8.2247399178336,8.08832728737982,8.99702912328139,7.81148941233386,7.67134620203988,8.23296262540865,7.77988879926415,8.32802637135557,8.1076253704019,9.16841444476917,9.32845517968677,8.82378481825597,8.32584914458683,9.07310101552988,9.41419743392168,9.13449939714097,9.23858779856396,8.34913406191756,8.23430336344746,8.20898380780081,8.3274377227644,8.29402505962523,8.30853153387907,8.53911014214578,8.33575215733298,8.23319854321034,8.00941005493596,8.12282642966143,8.18809536683223,7.61705604777805,7.5580541065339
"CG10565",7.63695111777519,7.03818167675698,7.66905619158073,6.59732642081929,9.38305003886971,9.56223192559897,9.47890929133716,9.39330475258852,7.93131190829632,6.39352790595234,6.79196970680308,6.43380354823931,5.82185808351566,7.64447921064793,7.63814210172834,7.40466797695659,5.74807411674611,6.03419362064759,8.25279889800446,5.71592347807085,4.82420020448976,6.66542760016281,6.4387728025361,6.86023629333555,6.17627786132434,6.06052992922567,6.06645198217619,6.23591386659537,6.16863308821226,8.15878826658809,8.67901428835231,7.7232096542041,7.83066292753887,7.72421652837048,7.85154441625086,8.84276837937132,8.46087413905881,8.34908067406919,8.22827094454592,8.22649608010033,8.15576462124261,7.81218580318477,7.66499694992136
